County,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31,Day32,Day33,Day34,Day35,Day36,Day37,Day38,Day39,Day40,Day41,Day42
Alachua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,5.0,13.0,5.0,2.0,9.0,1.0,10.0,9.0,4.0,5.0,11.0,6.0,4.0,12.0,7.0,6.0,8.0,5.0,6.0,9.0,14.0,8.0,7.0,1.0,5.0
Baker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,3.0,6.0,0.0,1.0,0.0,4.0,2.0,5.0,1.0,0.0,2.0,1.0
Bradford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,0.0
Brevard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,3.0,10.0,3.0,1.0,5.0,4.0,10.0,3.0,14.0,10.0,5.0,12.0,6.0,7.0,5.0,10.0,5.0,8.0,7.0
Broward,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,5.0,13.0,16.0,6.0,8.0,27.0,14.0,31.0,38.0,69.0,43.0,41.0,127.0,91.0,101.0,145.0,193.0,162.0,85.0,122.0,162.0,111.0,179.0,102.0,185.0,151.0,138.0,129.0,222.0,128.0,111.0,143.0
Calhoun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Charlotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,8.0,1.0,4.0,3.0,7.0,7.0,4.0,4.0,8.0,9.0,13.0,3.0,5.0,23.0,5.0,2.0,3.0
Citrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,7.0,3.0,4.0,6.0,4.0,2.0,6.0,1.0,4.0,1.0
Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,4.0,5.0,3.0,1.0,10.0,1.0,10.0,9.0,8.0,9.0,7.0,3.0,5.0,10.0,6.0,10.0,43.0,5.0,1.0,1.0
Collier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,5.0,9.0,1.0,6.0,5.0,6.0,17.0,15.0,12.0,5.0,17.0,23.0,15.0,12.0,24.0,21.0,20.0,15.0,14.0,17.0,13.0,25.0,24.0,21.0,10.0,10.0
Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0,0.0,1.0,1.0
Dade,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,8.0,7.0,26.0,24.0,21.0,23.0,51.0,84.0,38.0,88.0,150.0,166.0,199.0,265.0,349.0,245.0,420.0,250.0,504.0,531.0,475.0,263.0,506.0,447.0,423.0,355.0,441.0,448.0,293.0,127.0
Desoto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0
Dixie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Duval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,3.0,1.0,4.0,15.0,7.0,10.0,1.0,8.0,20.0,24.0,16.0,20.0,26.0,48.0,52.0,30.0,57.0,46.0,26.0,57.0,44.0,41.0,36.0,22.0,26.0,29.0,13.0
Escambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,4.0,4.0,6.0,1.0,8.0,50.0,6.0,2.0,9.0,11.0,8.0,9.0,21.0,16.0,12.0,16.0,8.0,15.0,13.0,2.0
Flagler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,0.0,2.0,2.0,7.0,4.0,1.0,0.0,1.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0
Franklin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gadsden,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,16.0,4.0
Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Glades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gulf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hardee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hendry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0
Hernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,6.0,1.0,3.0,6.0,6.0,4.0,1.0,6.0,2.0,6.0,4.0,4.0,2.0,4.0,2.0,0.0
Highlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,2.0,3.0,3.0,3.0,5.0,4.0,5.0,1.0,1.0,1.0,6.0,3.0,3.0,4.0,4.0,2.0
Hillsborough,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,2.0,5.0,14.0,17.0,15.0,18.0,17.0,33.0,22.0,26.0,27.0,19.0,50.0,32.0,67.0,38.0,66.0,30.0,34.0,40.0,30.0,30.0,22.0,20.0,54.0,34.0,16.0
Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indian River,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,3.0,5.0,8.0,5.0,6.0,5.0,3.0,5.0,3.0,3.0,4.0,0.0,3.0,4.0,1.0,0.0
Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0
Lafayette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,5.0,4.0,4.0,6.0,6.0,8.0,8.0,11.0,12.0,9.0,6.0,8.0,5.0,10.0,7.0,12.0,6.0,9.0,1.0,4.0,3.0
Lee,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,10.0,3.0,11.0,14.0,22.0,21.0,26.0,29.0,23.0,34.0,28.0,39.0,27.0,58.0,24.0,24.0,33.0,40.0,49.0,38.0,31.0,20.0,10.0
Leon,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,3.0,0.0,1.0,6.0,4.0,5.0,0.0,7.0,3.0,10.0,12.0,6.0,4.0,7.0,30.0,3.0,32.0,4.0
Levy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Liberty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Madison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Manatee,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,2.0,1.0,5.0,3.0,7.0,2.0,14.0,19.0,17.0,27.0,16.0,9.0,5.0,21.0,6.0,20.0,7.0,20.0,24.0,3.0
Marion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,6.0,4.0,4.0,1.0,5.0,4.0,2.0,5.0,7.0,6.0,6.0,8.0,8.0,8.0,2.0,8.0,2.0,2.0
Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,7.0,8.0,4.0,2.0,2.0,1.0,4.0,3.0,10.0,16.0,11.0,18.0,10.0,6.0,1.0,6.0,4.0,3.0,1.0
Monroe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,3.0,5.0,2.0,2.0,2.0,1.0,6.0,5.0,2.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0
Nassau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0
Okaloosa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,7.0,6.0,7.0,1.0,4.0,6.0,3.0,7.0,3.0,6.0,5.0,7.0,1.0
Okeechobee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,5.0,5.0,5.0,7.0,9.0,11.0,22.0,26.0,41.0,49.0,29.0,50.0,53.0,31.0,116.0,80.0,52.0,60.0,33.0,40.0,23.0,70.0,44.0,32.0,36.0,64.0,16.0
Osceola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,4.0,0.0,8.0,2.0,2.0,9.0,5.0,10.0,13.0,19.0,11.0,15.0,6.0,35.0,30.0,25.0,16.0,11.0,17.0,10.0,27.0,13.0,15.0,8.0,6.0,6.0
Palm Beach,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,3.0,10.0,6.0,16.0,14.0,28.0,7.0,15.0,40.0,30.0,75.0,74.0,72.0,82.0,83.0,65.0,146.0,114.0,94.0,48.0,70.0,66.0,74.0,113.0,70.0,181.0,55.0,30.0
Pasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,5.0,1.0,3.0,2.0,3.0,3.0,9.0,0.0,5.0,3.0,15.0,12.0,16.0,7.0,11.0,10.0,10.0,5.0,11.0,8.0,8.0,9.0,2.0
Pinellas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,4.0,5.0,7.0,10.0,5.0,5.0,10.0,18.0,13.0,19.0,10.0,15.0,33.0,65.0,41.0,47.0,16.0,18.0,16.0,17.0,19.0,19.0,15.0,10.0,18.0,2.0
Polk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,1.0,0.0,3.0,2.0,3.0,8.0,8.0,5.0,10.0,21.0,6.0,17.0,19.0,27.0,7.0,19.0,21.0,12.0,12.0,26.0,5.0,6.0,10.0,5.0
Putnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,3.0,4.0,1.0,6.0,8.0,0.0
Santa Rosa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,6.0,9.0,10.0,5.0,2.0,1.0,2.0,1.0,7.0,8.0,3.0,3.0,31.0,3.0,2.0,3.0,2.0
Sarasota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,7.0,5.0,3.0,2.0,7.0,3.0,13.0,2.0,10.0,11.0,9.0,20.0,16.0,8.0,9.0,6.0,27.0,11.0,12.0,17.0,9.0,8.0,9.0,1.0
Seminole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,3.0,4.0,3.0,4.0,7.0,5.0,13.0,12.0,15.0,13.0,11.0,12.0,29.0,17.0,11.0,15.0,13.0,5.0,7.0,18.0,10.0,5.0,13.0,13.0,1.0
St. Johns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,2.0,8.0,3.0,4.0,3.0,9.0,9.0,4.0,12.0,6.0,13.0,11.0,12.0,16.0,15.0,7.0,6.0,5.0,4.0,5.0,3.0,4.0,4.0,1.0
St. Lucie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,4.0,7.0,2.0,1.0,9.0,8.0,7.0,1.0,19.0,14.0,14.0,17.0,11.0,6.0,12.0,5.0,2.0,8.0,0.0
Sumter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,5.0,2.0,8.0,9.0,3.0,7.0,5.0,6.0,2.0,8.0,4.0,4.0,5.0,1.0,6.0,7.0,11.0,5.0,3.0,1.0,0.0,1.0
Suwannee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,7.0,1.0,11.0,2.0,14.0,9.0,4.0,8.0,1.0,0.0,0.0
Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volusia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,8.0,10.0,7.0,5.0,11.0,11.0,8.0,21.0,13.0,13.0,13.0,12.0,6.0,0.0,15.0,9.0,9.0,7.0,8.0,5.0
Wakulla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
Walton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Saint Johns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Lucie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,2.0,2.0,4.0,1.0,0.0,4.0,1.0,5.0,3.0,6.0,7.0,24.0,45.0,33.0,32.0,70.0,107.0,87.0,150.0,217.0,306.0,193.0,300.0,518.0,562.0,693.0,726.0,920.0,899.0,948.0,1080.0,1315.0,1334.0,1206.0,790.0,1225.0,1066.0,1100.0,1079.0,1141.0,1112.0,853.0,435.0
