,County,Day,Cases,Week,Date,Population,Rate,Log
1060,Manatee,15,2,3,3/17/20,381071.0,0.5248365790102106,0.6931471805599453
1129,Manatee,16,1,3,3/18/20,381071.0,0.2624182895051053,0.0
1198,Manatee,17,1,3,3/19/20,381071.0,0.2624182895051053,0.0
1267,Manatee,18,1,3,3/20/20,381071.0,0.2624182895051053,0.0
1336,Manatee,19,3,3,3/21/20,381071.0,0.7872548685153161,1.0986122886681098
1405,Manatee,20,1,3,3/22/20,381071.0,0.2624182895051053,0.0
1474,Manatee,21,2,4,3/23/20,381071.0,0.5248365790102106,0.6931471805599453
1543,Manatee,22,0,4,3/24/20,381071.0,0.0,0.0
26,Marion,0,0,1,3/2/20,355325.0,0.0,0.0
95,Marion,1,0,1,3/3/20,355325.0,0.0,0.0
164,Marion,2,0,1,3/4/20,355325.0,0.0,0.0
233,Marion,3,0,1,3/5/20,355325.0,0.0,0.0
302,Marion,4,0,1,3/6/20,355325.0,0.0,0.0
371,Marion,5,0,1,3/7/20,355325.0,0.0,0.0
440,Marion,6,0,1,3/8/20,355325.0,0.0,0.0
509,Marion,7,0,2,3/9/20,355325.0,0.0,0.0
578,Marion,8,0,2,3/10/20,355325.0,0.0,0.0
647,Marion,9,0,2,3/11/20,355325.0,0.0,0.0
716,Marion,10,0,2,3/12/20,355325.0,0.0,0.0
785,Marion,11,0,2,3/13/20,355325.0,0.0,0.0
854,Marion,12,0,2,3/14/20,355325.0,0.0,0.0
923,Marion,13,0,2,3/15/20,355325.0,0.0,0.0
992,Marion,14,0,3,3/16/20,355325.0,0.0,0.0
1061,Marion,15,0,3,3/17/20,355325.0,0.0,0.0
1130,Marion,16,0,3,3/18/20,355325.0,0.0,0.0
1199,Marion,17,0,3,3/19/20,355325.0,0.0,0.0
1268,Marion,18,0,3,3/20/20,355325.0,0.0,0.0
1337,Marion,19,2,3,3/21/20,355325.0,0.5628649827622599,0.6931471805599453
1406,Marion,20,1,3,3/22/20,355325.0,0.28143249138112997,0.0
1475,Marion,21,1,4,3/23/20,355325.0,0.28143249138112997,0.0
1544,Marion,22,0,4,3/24/20,355325.0,0.0,0.0
27,Martin,0,0,1,3/2/20,155705.0,0.0,0.0
96,Martin,1,0,1,3/3/20,155705.0,0.0,0.0
165,Martin,2,0,1,3/4/20,155705.0,0.0,0.0
234,Martin,3,0,1,3/5/20,155705.0,0.0,0.0
303,Martin,4,0,1,3/6/20,155705.0,0.0,0.0
372,Martin,5,0,1,3/7/20,155705.0,0.0,0.0
441,Martin,6,0,1,3/8/20,155705.0,0.0,0.0
510,Martin,7,0,2,3/9/20,155705.0,0.0,0.0
579,Martin,8,0,2,3/10/20,155705.0,0.0,0.0
648,Martin,9,0,2,3/11/20,155705.0,0.0,0.0
717,Martin,10,0,2,3/12/20,155705.0,0.0,0.0
786,Martin,11,0,2,3/13/20,155705.0,0.0,0.0
855,Martin,12,0,2,3/14/20,155705.0,0.0,0.0
924,Martin,13,0,2,3/15/20,155705.0,0.0,0.0
993,Martin,14,0,3,3/16/20,155705.0,0.0,0.0
1062,Martin,15,0,3,3/17/20,155705.0,0.0,0.0
1131,Martin,16,0,3,3/18/20,155705.0,0.0,0.0
1200,Martin,17,1,3,3/19/20,155705.0,0.6422401335859478,0.0
1269,Martin,18,0,3,3/20/20,155705.0,0.0,0.0
1338,Martin,19,0,3,3/21/20,155705.0,0.0,0.0
1407,Martin,20,1,3,3/22/20,155705.0,0.6422401335859478,0.0
1476,Martin,21,2,4,3/23/20,155705.0,1.2844802671718956,0.6931471805599453
1545,Martin,22,0,4,3/24/20,155705.0,0.0,0.0
28,Monroe,0,0,1,3/2/20,76534.0,0.0,0.0
97,Monroe,1,0,1,3/3/20,76534.0,0.0,0.0
166,Monroe,2,0,1,3/4/20,76534.0,0.0,0.0
235,Monroe,3,0,1,3/5/20,76534.0,0.0,0.0
304,Monroe,4,0,1,3/6/20,76534.0,0.0,0.0
373,Monroe,5,0,1,3/7/20,76534.0,0.0,0.0
442,Monroe,6,0,1,3/8/20,76534.0,0.0,0.0
511,Monroe,7,0,2,3/9/20,76534.0,0.0,0.0
580,Monroe,8,0,2,3/10/20,76534.0,0.0,0.0
649,Monroe,9,0,2,3/11/20,76534.0,0.0,0.0
718,Monroe,10,0,2,3/12/20,76534.0,0.0,0.0
787,Monroe,11,0,2,3/13/20,76534.0,0.0,0.0
856,Monroe,12,0,2,3/14/20,76534.0,0.0,0.0
925,Monroe,13,0,2,3/15/20,76534.0,0.0,0.0
994,Monroe,14,0,3,3/16/20,76534.0,0.0,0.0
1063,Monroe,15,0,3,3/17/20,76534.0,0.0,0.0
1132,Monroe,16,0,3,3/18/20,76534.0,0.0,0.0
1201,Monroe,17,0,3,3/19/20,76534.0,0.0,0.0
1270,Monroe,18,1,3,3/20/20,76534.0,1.3066088274492382,0.0
1339,Monroe,19,0,3,3/21/20,76534.0,0.0,0.0
1408,Monroe,20,1,3,3/22/20,76534.0,1.3066088274492382,0.0
1477,Monroe,21,1,4,3/23/20,76534.0,1.3066088274492382,0.0
1546,Monroe,22,0,4,3/24/20,76534.0,0.0,0.0
29,Nassau,0,0,1,3/2/20,83125.0,0.0,0.0
98,Nassau,1,0,1,3/3/20,83125.0,0.0,0.0
167,Nassau,2,0,1,3/4/20,83125.0,0.0,0.0
236,Nassau,3,0,1,3/5/20,83125.0,0.0,0.0
305,Nassau,4,0,1,3/6/20,83125.0,0.0,0.0
374,Nassau,5,0,1,3/7/20,83125.0,0.0,0.0
443,Nassau,6,0,1,3/8/20,83125.0,0.0,0.0
512,Nassau,7,0,2,3/9/20,83125.0,0.0,0.0
581,Nassau,8,1,2,3/10/20,83125.0,1.2030075187969924,0.0
650,Nassau,9,0,2,3/11/20,83125.0,0.0,0.0
719,Nassau,10,0,2,3/12/20,83125.0,0.0,0.0
788,Nassau,11,0,2,3/13/20,83125.0,0.0,0.0
857,Nassau,12,0,2,3/14/20,83125.0,0.0,0.0
926,Nassau,13,0,2,3/15/20,83125.0,0.0,0.0
995,Nassau,14,0,3,3/16/20,83125.0,0.0,0.0
1064,Nassau,15,0,3,3/17/20,83125.0,0.0,0.0
1133,Nassau,16,0,3,3/18/20,83125.0,0.0,0.0
1202,Nassau,17,0,3,3/19/20,83125.0,0.0,0.0
1271,Nassau,18,0,3,3/20/20,83125.0,0.0,0.0
1340,Nassau,19,0,3,3/21/20,83125.0,0.0,0.0
1409,Nassau,20,0,3,3/22/20,83125.0,0.0,0.0
1478,Nassau,21,0,4,3/23/20,83125.0,0.0,0.0
1547,Nassau,22,0,4,3/24/20,83125.0,0.0,0.0
30,Okaloosa,0,0,1,3/2/20,198409.0,0.0,0.0
99,Okaloosa,1,0,1,3/3/20,198409.0,0.0,0.0
168,Okaloosa,2,1,1,3/4/20,198409.0,0.5040093947351179,0.0
237,Okaloosa,3,0,1,3/5/20,198409.0,0.0,0.0
306,Okaloosa,4,0,1,3/6/20,198409.0,0.0,0.0
375,Okaloosa,5,0,1,3/7/20,198409.0,0.0,0.0
444,Okaloosa,6,0,1,3/8/20,198409.0,0.0,0.0
513,Okaloosa,7,1,2,3/9/20,198409.0,0.5040093947351179,0.0
582,Okaloosa,8,0,2,3/10/20,198409.0,0.0,0.0
651,Okaloosa,9,0,2,3/11/20,198409.0,0.0,0.0
720,Okaloosa,10,0,2,3/12/20,198409.0,0.0,0.0
789,Okaloosa,11,0,2,3/13/20,198409.0,0.0,0.0
858,Okaloosa,12,0,2,3/14/20,198409.0,0.0,0.0
927,Okaloosa,13,0,2,3/15/20,198409.0,0.0,0.0
996,Okaloosa,14,0,3,3/16/20,198409.0,0.0,0.0
1065,Okaloosa,15,1,3,3/17/20,198409.0,0.5040093947351179,0.0
1134,Okaloosa,16,1,3,3/18/20,198409.0,0.5040093947351179,0.0
1203,Okaloosa,17,1,3,3/19/20,198409.0,0.5040093947351179,0.0
1272,Okaloosa,18,4,3,3/20/20,198409.0,2.0160375789404714,1.3862943611198906
1341,Okaloosa,19,3,3,3/21/20,198409.0,1.5120281842053536,1.0986122886681098
1410,Okaloosa,20,2,3,3/22/20,198409.0,1.0080187894702357,0.6931471805599453
1479,Okaloosa,21,0,4,3/23/20,198409.0,0.0,0.0
1548,Okaloosa,22,0,4,3/24/20,198409.0,0.0,0.0
60,Okeechobee,0,0,1,3/2/20,41492.0,0.0,0.0
129,Okeechobee,1,0,1,3/3/20,41492.0,0.0,0.0
198,Okeechobee,2,0,1,3/4/20,41492.0,0.0,0.0
267,Okeechobee,3,0,1,3/5/20,41492.0,0.0,0.0
336,Okeechobee,4,0,1,3/6/20,41492.0,0.0,0.0
405,Okeechobee,5,0,1,3/7/20,41492.0,0.0,0.0
474,Okeechobee,6,0,1,3/8/20,41492.0,0.0,0.0
543,Okeechobee,7,0,2,3/9/20,41492.0,0.0,0.0
612,Okeechobee,8,0,2,3/10/20,41492.0,0.0,0.0
681,Okeechobee,9,0,2,3/11/20,41492.0,0.0,0.0
750,Okeechobee,10,0,2,3/12/20,41492.0,0.0,0.0
819,Okeechobee,11,0,2,3/13/20,41492.0,0.0,0.0
888,Okeechobee,12,0,2,3/14/20,41492.0,0.0,0.0
957,Okeechobee,13,0,2,3/15/20,41492.0,0.0,0.0
1026,Okeechobee,14,0,3,3/16/20,41492.0,0.0,0.0
1095,Okeechobee,15,0,3,3/17/20,41492.0,0.0,0.0
1164,Okeechobee,16,0,3,3/18/20,41492.0,0.0,0.0
1233,Okeechobee,17,0,3,3/19/20,41492.0,0.0,0.0
1302,Okeechobee,18,0,3,3/20/20,41492.0,0.0,0.0
1371,Okeechobee,19,0,3,3/21/20,41492.0,0.0,0.0
1440,Okeechobee,20,0,3,3/22/20,41492.0,0.0,0.0
1509,Okeechobee,21,0,4,3/23/20,41492.0,0.0,0.0
1578,Okeechobee,22,0,4,3/24/20,41492.0,0.0,0.0
31,Orange,0,0,1,3/2/20,1370447.0,0.0,0.0
100,Orange,1,0,1,3/3/20,1370447.0,0.0,0.0
169,Orange,2,0,1,3/4/20,1370447.0,0.0,0.0
238,Orange,3,0,1,3/5/20,1370447.0,0.0,0.0
307,Orange,4,0,1,3/6/20,1370447.0,0.0,0.0
376,Orange,5,0,1,3/7/20,1370447.0,0.0,0.0
445,Orange,6,0,1,3/8/20,1370447.0,0.0,0.0
514,Orange,7,0,2,3/9/20,1370447.0,0.0,0.0
583,Orange,8,0,2,3/10/20,1370447.0,0.0,0.0
652,Orange,9,0,2,3/11/20,1370447.0,0.0,0.0
721,Orange,10,0,2,3/12/20,1370447.0,0.0,0.0
790,Orange,11,3,2,3/13/20,1370447.0,0.21890667789414694,1.0986122886681098
859,Orange,12,0,2,3/14/20,1370447.0,0.0,0.0
928,Orange,13,1,2,3/15/20,1370447.0,0.07296889263138231,0.0
997,Orange,14,2,3,3/16/20,1370447.0,0.14593778526276463,0.6931471805599453
1066,Orange,15,2,3,3/17/20,1370447.0,0.14593778526276463,0.6931471805599453
1135,Orange,16,5,3,3/18/20,1370447.0,0.3648444631569116,1.6094379124341003
1204,Orange,17,5,3,3/19/20,1370447.0,0.3648444631569116,1.6094379124341003
1273,Orange,18,5,3,3/20/20,1370447.0,0.3648444631569116,1.6094379124341003
1342,Orange,19,6,3,3/21/20,1370447.0,0.4378133557882939,1.791759469228055
1411,Orange,20,9,3,3/22/20,1370447.0,0.6567200336824409,2.1972245773362196
1480,Orange,21,12,4,3/23/20,1370447.0,0.8756267115765878,2.4849066497880004
1549,Orange,22,0,4,3/24/20,1370447.0,0.0,0.0
32,Osceola,0,0,1,3/2/20,360426.0,0.0,0.0
101,Osceola,1,0,1,3/3/20,360426.0,0.0,0.0
170,Osceola,2,0,1,3/4/20,360426.0,0.0,0.0
239,Osceola,3,0,1,3/5/20,360426.0,0.0,0.0
308,Osceola,4,0,1,3/6/20,360426.0,0.0,0.0
377,Osceola,5,0,1,3/7/20,360426.0,0.0,0.0
446,Osceola,6,0,1,3/8/20,360426.0,0.0,0.0
515,Osceola,7,0,2,3/9/20,360426.0,0.0,0.0
584,Osceola,8,0,2,3/10/20,360426.0,0.0,0.0
653,Osceola,9,0,2,3/11/20,360426.0,0.0,0.0
722,Osceola,10,0,2,3/12/20,360426.0,0.0,0.0
791,Osceola,11,3,2,3/13/20,360426.0,0.8323483877411729,1.0986122886681098
860,Osceola,12,1,2,3/14/20,360426.0,0.277449462580391,0.0
929,Osceola,13,0,2,3/15/20,360426.0,0.0,0.0
998,Osceola,14,1,3,3/16/20,360426.0,0.277449462580391,0.0
1067,Osceola,15,3,3,3/17/20,360426.0,0.8323483877411729,1.0986122886681098
1136,Osceola,16,2,3,3/18/20,360426.0,0.554898925160782,0.6931471805599453
1205,Osceola,17,4,3,3/19/20,360426.0,1.109797850321564,1.3862943611198906
1274,Osceola,18,0,3,3/20/20,360426.0,0.0,0.0
1343,Osceola,19,8,3,3/21/20,360426.0,2.219595700643128,2.0794415416798357
1412,Osceola,20,2,3,3/22/20,360426.0,0.554898925160782,0.6931471805599453
1481,Osceola,21,2,4,3/23/20,360426.0,0.554898925160782,0.6931471805599453
1550,Osceola,22,0,4,3/24/20,360426.0,0.0,0.0
33,Palm Beach,0,0,1,3/2/20,1442281.0,0.0,0.0
102,Palm Beach,1,0,1,3/3/20,1442281.0,0.0,0.0
171,Palm Beach,2,1,1,3/4/20,1442281.0,0.0693346164859691,0.0
240,Palm Beach,3,0,1,3/5/20,1442281.0,0.0,0.0
309,Palm Beach,4,0,1,3/6/20,1442281.0,0.0,0.0
378,Palm Beach,5,0,1,3/7/20,1442281.0,0.0,0.0
447,Palm Beach,6,0,1,3/8/20,1442281.0,0.0,0.0
516,Palm Beach,7,0,2,3/9/20,1442281.0,0.0,0.0
585,Palm Beach,8,0,2,3/10/20,1442281.0,0.0,0.0
654,Palm Beach,9,0,2,3/11/20,1442281.0,0.0,0.0
723,Palm Beach,10,0,2,3/12/20,1442281.0,0.0,0.0
792,Palm Beach,11,2,2,3/13/20,1442281.0,0.1386692329719382,0.6931471805599453
861,Palm Beach,12,3,2,3/14/20,1442281.0,0.20800384945790729,1.0986122886681098
930,Palm Beach,13,0,2,3/15/20,1442281.0,0.0,0.0
999,Palm Beach,14,4,3,3/16/20,1442281.0,0.2773384659438764,1.3862943611198906
1068,Palm Beach,15,3,3,3/17/20,1442281.0,0.20800384945790729,1.0986122886681098
1137,Palm Beach,16,10,3,3/18/20,1442281.0,0.693346164859691,2.302585092994046
1206,Palm Beach,17,6,3,3/19/20,1442281.0,0.41600769891581457,1.791759469228055
1275,Palm Beach,18,16,3,3/20/20,1442281.0,1.1093538637755056,2.772588722239781
1344,Palm Beach,19,14,3,3/21/20,1442281.0,0.9706846308035674,2.6390573296152584
1413,Palm Beach,20,27,3,3/22/20,1442281.0,1.8720346451211656,3.295836866004329
1482,Palm Beach,21,7,4,3/23/20,1442281.0,0.4853423154017837,1.9459101490553132
1551,Palm Beach,22,8,4,3/24/20,1442281.0,0.5546769318877528,2.0794415416798357
34,Pasco,0,0,1,3/2/20,518639.0,0.0,0.0
103,Pasco,1,0,1,3/3/20,518639.0,0.0,0.0
172,Pasco,2,0,1,3/4/20,518639.0,0.0,0.0
241,Pasco,3,0,1,3/5/20,518639.0,0.0,0.0
310,Pasco,4,0,1,3/6/20,518639.0,0.0,0.0
379,Pasco,5,0,1,3/7/20,518639.0,0.0,0.0
448,Pasco,6,0,1,3/8/20,518639.0,0.0,0.0
517,Pasco,7,0,2,3/9/20,518639.0,0.0,0.0
586,Pasco,8,0,2,3/10/20,518639.0,0.0,0.0
655,Pasco,9,1,2,3/11/20,518639.0,0.1928123415323568,0.0
724,Pasco,10,0,2,3/12/20,518639.0,0.0,0.0
793,Pasco,11,0,2,3/13/20,518639.0,0.0,0.0
862,Pasco,12,1,2,3/14/20,518639.0,0.1928123415323568,0.0
931,Pasco,13,0,2,3/15/20,518639.0,0.0,0.0
1000,Pasco,14,0,3,3/16/20,518639.0,0.0,0.0
1069,Pasco,15,0,3,3/17/20,518639.0,0.0,0.0
1138,Pasco,16,1,3,3/18/20,518639.0,0.1928123415323568,0.0
1207,Pasco,17,2,3,3/19/20,518639.0,0.3856246830647136,0.6931471805599453
1276,Pasco,18,3,3,3/20/20,518639.0,0.5784370245970705,1.0986122886681098
1345,Pasco,19,0,3,3/21/20,518639.0,0.0,0.0
1414,Pasco,20,5,3,3/22/20,518639.0,0.964061707661784,1.6094379124341003
1483,Pasco,21,1,4,3/23/20,518639.0,0.1928123415323568,0.0
1552,Pasco,22,1,4,3/24/20,518639.0,0.1928123415323568,0.0
35,Pinellas,0,0,1,3/2/20,971022.0,0.0,0.0
104,Pinellas,1,0,1,3/3/20,971022.0,0.0,0.0
173,Pinellas,2,0,1,3/4/20,971022.0,0.0,0.0
242,Pinellas,3,0,1,3/5/20,971022.0,0.0,0.0
311,Pinellas,4,0,1,3/6/20,971022.0,0.0,0.0
380,Pinellas,5,0,1,3/7/20,971022.0,0.0,0.0
449,Pinellas,6,0,1,3/8/20,971022.0,0.0,0.0
518,Pinellas,7,0,2,3/9/20,971022.0,0.0,0.0
587,Pinellas,8,0,2,3/10/20,971022.0,0.0,0.0
656,Pinellas,9,2,2,3/11/20,971022.0,0.20596855684011278,0.6931471805599453
725,Pinellas,10,0,2,3/12/20,971022.0,0.0,0.0
794,Pinellas,11,0,2,3/13/20,971022.0,0.0,0.0
863,Pinellas,12,0,2,3/14/20,971022.0,0.0,0.0
932,Pinellas,13,0,2,3/15/20,971022.0,0.0,0.0
1001,Pinellas,14,2,3,3/16/20,971022.0,0.20596855684011278,0.6931471805599453
1070,Pinellas,15,1,3,3/17/20,971022.0,0.10298427842005639,0.0
1139,Pinellas,16,8,3,3/18/20,971022.0,0.8238742273604511,2.0794415416798357
1208,Pinellas,17,4,3,3/19/20,971022.0,0.41193711368022556,1.3862943611198906
1277,Pinellas,18,5,3,3/20/20,971022.0,0.514921392100282,1.6094379124341003
1346,Pinellas,19,7,3,3/21/20,971022.0,0.7208899489403947,1.9459101490553132
1415,Pinellas,20,10,3,3/22/20,971022.0,1.029842784200564,2.302585092994046
1484,Pinellas,21,5,4,3/23/20,971022.0,0.514921392100282,1.6094379124341003
1553,Pinellas,22,1,4,3/24/20,971022.0,0.10298427842005639,0.0
36,Polk,0,0,1,3/2/20,681691.0,0.0,0.0
105,Polk,1,0,1,3/3/20,681691.0,0.0,0.0
174,Polk,2,0,1,3/4/20,681691.0,0.0,0.0
243,Polk,3,0,1,3/5/20,681691.0,0.0,0.0
312,Polk,4,0,1,3/6/20,681691.0,0.0,0.0
381,Polk,5,0,1,3/7/20,681691.0,0.0,0.0
450,Polk,6,0,1,3/8/20,681691.0,0.0,0.0
519,Polk,7,0,2,3/9/20,681691.0,0.0,0.0
588,Polk,8,0,2,3/10/20,681691.0,0.0,0.0
657,Polk,9,0,2,3/11/20,681691.0,0.0,0.0
726,Polk,10,0,2,3/12/20,681691.0,0.0,0.0
795,Polk,11,0,2,3/13/20,681691.0,0.0,0.0
864,Polk,12,0,2,3/14/20,681691.0,0.0,0.0
933,Polk,13,0,2,3/15/20,681691.0,0.0,0.0
1002,Polk,14,0,3,3/16/20,681691.0,0.0,0.0
1071,Polk,15,1,3,3/17/20,681691.0,0.1466940299930614,0.0
1140,Polk,16,1,3,3/18/20,681691.0,0.1466940299930614,0.0
1209,Polk,17,2,3,3/19/20,681691.0,0.2933880599861228,0.6931471805599453
1278,Polk,18,6,3,3/20/20,681691.0,0.8801641799583683,1.791759469228055
1347,Polk,19,1,3,3/21/20,681691.0,0.1466940299930614,0.0
1416,Polk,20,0,3,3/22/20,681691.0,0.0,0.0
1485,Polk,21,2,4,3/23/20,681691.0,0.2933880599861228,0.6931471805599453
1554,Polk,22,0,4,3/24/20,681691.0,0.0,0.0
37,Putnam,0,0,1,3/2/20,73422.0,0.0,0.0
106,Putnam,1,0,1,3/3/20,73422.0,0.0,0.0
175,Putnam,2,0,1,3/4/20,73422.0,0.0,0.0
244,Putnam,3,0,1,3/5/20,73422.0,0.0,0.0
313,Putnam,4,0,1,3/6/20,73422.0,0.0,0.0
382,Putnam,5,0,1,3/7/20,73422.0,0.0,0.0
451,Putnam,6,0,1,3/8/20,73422.0,0.0,0.0
520,Putnam,7,0,2,3/9/20,73422.0,0.0,0.0
589,Putnam,8,0,2,3/10/20,73422.0,0.0,0.0
658,Putnam,9,0,2,3/11/20,73422.0,0.0,0.0
727,Putnam,10,0,2,3/12/20,73422.0,0.0,0.0
796,Putnam,11,0,2,3/13/20,73422.0,0.0,0.0
865,Putnam,12,0,2,3/14/20,73422.0,0.0,0.0
934,Putnam,13,0,2,3/15/20,73422.0,0.0,0.0
1003,Putnam,14,0,3,3/16/20,73422.0,0.0,0.0
1072,Putnam,15,0,3,3/17/20,73422.0,0.0,0.0
1141,Putnam,16,0,3,3/18/20,73422.0,0.0,0.0
1210,Putnam,17,0,3,3/19/20,73422.0,0.0,0.0
1279,Putnam,18,1,3,3/20/20,73422.0,1.3619895943994988,0.0
1348,Putnam,19,0,3,3/21/20,73422.0,0.0,0.0
