,County,Day,Cases,Week,Date,Population,Rate,Change,Double
1052,Hernando,15,0.0,3,3/17/20,185421.0,0.0,0.0,No
1121,Hernando,16,0.0,3,3/18/20,185421.0,0.0,0.0,No
1190,Hernando,17,4.0,3,3/19/20,185421.0,2.157252954088264,4.0,Yes
1259,Hernando,18,0.0,3,3/20/20,185421.0,0.0,-4.0,No
1328,Hernando,19,1.0,3,3/21/20,185421.0,0.539313238522066,1.0,Yes
1397,Hernando,20,0.0,3,3/22/20,185421.0,0.0,-1.0,No
1466,Hernando,21,0.0,4,3/23/20,185421.0,0.0,0.0,No
1535,Hernando,22,0.0,4,3/24/20,185421.0,0.0,0.0,No
18,Highlands,0,0.0,1,3/2/20,103317.0,0.0,0.0,No
87,Highlands,1,0.0,1,3/3/20,103317.0,0.0,0.0,No
156,Highlands,2,0.0,1,3/4/20,103317.0,0.0,0.0,No
225,Highlands,3,0.0,1,3/5/20,103317.0,0.0,0.0,No
294,Highlands,4,0.0,1,3/6/20,103317.0,0.0,0.0,No
363,Highlands,5,0.0,1,3/7/20,103317.0,0.0,0.0,No
432,Highlands,6,0.0,1,3/8/20,103317.0,0.0,0.0,No
501,Highlands,7,0.0,2,3/9/20,103317.0,0.0,0.0,No
570,Highlands,8,0.0,2,3/10/20,103317.0,0.0,0.0,No
639,Highlands,9,0.0,2,3/11/20,103317.0,0.0,0.0,No
708,Highlands,10,0.0,2,3/12/20,103317.0,0.0,0.0,No
777,Highlands,11,0.0,2,3/13/20,103317.0,0.0,0.0,No
846,Highlands,12,0.0,2,3/14/20,103317.0,0.0,0.0,No
915,Highlands,13,0.0,2,3/15/20,103317.0,0.0,0.0,No
984,Highlands,14,0.0,3,3/16/20,103317.0,0.0,0.0,No
1053,Highlands,15,0.0,3,3/17/20,103317.0,0.0,0.0,No
1122,Highlands,16,0.0,3,3/18/20,103317.0,0.0,0.0,No
1191,Highlands,17,0.0,3,3/19/20,103317.0,0.0,0.0,No
1260,Highlands,18,0.0,3,3/20/20,103317.0,0.0,0.0,No
1329,Highlands,19,1.0,3,3/21/20,103317.0,0.9678949253269066,1.0,Yes
1398,Highlands,20,1.0,3,3/22/20,103317.0,0.9678949253269066,0.0,Yes
1467,Highlands,21,1.0,4,3/23/20,103317.0,0.9678949253269066,0.0,Yes
1536,Highlands,22,1.0,4,3/24/20,103317.0,0.9678949253269066,0.0,Yes
19,Hillsborough,0,1.0,1,3/2/20,1419285.0,0.07045801230901474,0.0,No
88,Hillsborough,1,1.0,1,3/3/20,1419285.0,0.07045801230901474,0.0,Yes
157,Hillsborough,2,0.0,1,3/4/20,1419285.0,0.0,-1.0,No
226,Hillsborough,3,0.0,1,3/5/20,1419285.0,0.0,0.0,No
295,Hillsborough,4,0.0,1,3/6/20,1419285.0,0.0,0.0,No
364,Hillsborough,5,0.0,1,3/7/20,1419285.0,0.0,0.0,No
433,Hillsborough,6,0.0,1,3/8/20,1419285.0,0.0,0.0,No
502,Hillsborough,7,0.0,2,3/9/20,1419285.0,0.0,0.0,No
571,Hillsborough,8,0.0,2,3/10/20,1419285.0,0.0,0.0,No
640,Hillsborough,9,0.0,2,3/11/20,1419285.0,0.0,0.0,No
709,Hillsborough,10,0.0,2,3/12/20,1419285.0,0.0,0.0,No
778,Hillsborough,11,1.0,2,3/13/20,1419285.0,0.07045801230901474,1.0,Yes
847,Hillsborough,12,3.0,2,3/14/20,1419285.0,0.21137403692704423,2.0,Yes
916,Hillsborough,13,0.0,2,3/15/20,1419285.0,0.0,-3.0,No
985,Hillsborough,14,0.0,3,3/16/20,1419285.0,0.0,0.0,No
1054,Hillsborough,15,6.0,3,3/17/20,1419285.0,0.42274807385408847,6.0,Yes
1123,Hillsborough,16,2.0,3,3/18/20,1419285.0,0.1409160246180295,-4.0,No
1192,Hillsborough,17,5.0,3,3/19/20,1419285.0,0.35229006154507375,3.0,Yes
1261,Hillsborough,18,14.0,3,3/20/20,1419285.0,0.9864121723262066,9.0,Yes
1330,Hillsborough,19,17.0,3,3/21/20,1419285.0,1.1977862092532507,3.0,Yes
1399,Hillsborough,20,15.0,3,3/22/20,1419285.0,1.0568701846352213,-2.0,No
1468,Hillsborough,21,19.0,4,3/23/20,1419285.0,1.3387022338712804,4.0,Yes
1537,Hillsborough,22,7.0,4,3/24/20,1419285.0,0.4932060861631033,-12.0,No
54,Holmes,0,0.0,1,3/2/20,20404.0,0.0,0.0,No
123,Holmes,1,0.0,1,3/3/20,20404.0,0.0,0.0,No
192,Holmes,2,0.0,1,3/4/20,20404.0,0.0,0.0,No
261,Holmes,3,0.0,1,3/5/20,20404.0,0.0,0.0,No
330,Holmes,4,0.0,1,3/6/20,20404.0,0.0,0.0,No
399,Holmes,5,0.0,1,3/7/20,20404.0,0.0,0.0,No
468,Holmes,6,0.0,1,3/8/20,20404.0,0.0,0.0,No
537,Holmes,7,0.0,2,3/9/20,20404.0,0.0,0.0,No
606,Holmes,8,0.0,2,3/10/20,20404.0,0.0,0.0,No
675,Holmes,9,0.0,2,3/11/20,20404.0,0.0,0.0,No
744,Holmes,10,0.0,2,3/12/20,20404.0,0.0,0.0,No
813,Holmes,11,0.0,2,3/13/20,20404.0,0.0,0.0,No
882,Holmes,12,0.0,2,3/14/20,20404.0,0.0,0.0,No
951,Holmes,13,0.0,2,3/15/20,20404.0,0.0,0.0,No
1020,Holmes,14,0.0,3,3/16/20,20404.0,0.0,0.0,No
1089,Holmes,15,0.0,3,3/17/20,20404.0,0.0,0.0,No
1158,Holmes,16,0.0,3,3/18/20,20404.0,0.0,0.0,No
1227,Holmes,17,0.0,3,3/19/20,20404.0,0.0,0.0,No
1296,Holmes,18,0.0,3,3/20/20,20404.0,0.0,0.0,No
1365,Holmes,19,0.0,3,3/21/20,20404.0,0.0,0.0,No
1434,Holmes,20,0.0,3,3/22/20,20404.0,0.0,0.0,No
1503,Holmes,21,0.0,4,3/23/20,20404.0,0.0,0.0,No
1572,Holmes,22,0.0,4,3/24/20,20404.0,0.0,0.0,No
20,Indian River,0,0.0,1,3/2/20,152079.0,0.0,0.0,No
89,Indian River,1,0.0,1,3/3/20,152079.0,0.0,0.0,No
158,Indian River,2,0.0,1,3/4/20,152079.0,0.0,0.0,No
227,Indian River,3,0.0,1,3/5/20,152079.0,0.0,0.0,No
296,Indian River,4,0.0,1,3/6/20,152079.0,0.0,0.0,No
365,Indian River,5,0.0,1,3/7/20,152079.0,0.0,0.0,No
434,Indian River,6,0.0,1,3/8/20,152079.0,0.0,0.0,No
503,Indian River,7,0.0,2,3/9/20,152079.0,0.0,0.0,No
572,Indian River,8,0.0,2,3/10/20,152079.0,0.0,0.0,No
641,Indian River,9,0.0,2,3/11/20,152079.0,0.0,0.0,No
710,Indian River,10,0.0,2,3/12/20,152079.0,0.0,0.0,No
779,Indian River,11,0.0,2,3/13/20,152079.0,0.0,0.0,No
848,Indian River,12,0.0,2,3/14/20,152079.0,0.0,0.0,No
917,Indian River,13,0.0,2,3/15/20,152079.0,0.0,0.0,No
986,Indian River,14,0.0,3,3/16/20,152079.0,0.0,0.0,No
1055,Indian River,15,0.0,3,3/17/20,152079.0,0.0,0.0,No
1124,Indian River,16,0.0,3,3/18/20,152079.0,0.0,0.0,No
1193,Indian River,17,1.0,3,3/19/20,152079.0,0.6575529823315514,1.0,Yes
1262,Indian River,18,2.0,3,3/20/20,152079.0,1.3151059646631027,1.0,Yes
1331,Indian River,19,3.0,3,3/21/20,152079.0,1.9726589469946543,1.0,Yes
1400,Indian River,20,2.0,3,3/22/20,152079.0,1.3151059646631027,-1.0,No
1469,Indian River,21,2.0,4,3/23/20,152079.0,1.3151059646631027,0.0,Yes
1538,Indian River,22,1.0,4,3/24/20,152079.0,0.6575529823315514,-1.0,No
21,Jackson,0,0.0,1,3/2/20,50689.0,0.0,0.0,No
90,Jackson,1,0.0,1,3/3/20,50689.0,0.0,0.0,No
159,Jackson,2,0.0,1,3/4/20,50689.0,0.0,0.0,No
228,Jackson,3,0.0,1,3/5/20,50689.0,0.0,0.0,No
297,Jackson,4,0.0,1,3/6/20,50689.0,0.0,0.0,No
366,Jackson,5,0.0,1,3/7/20,50689.0,0.0,0.0,No
435,Jackson,6,0.0,1,3/8/20,50689.0,0.0,0.0,No
504,Jackson,7,0.0,2,3/9/20,50689.0,0.0,0.0,No
573,Jackson,8,0.0,2,3/10/20,50689.0,0.0,0.0,No
642,Jackson,9,0.0,2,3/11/20,50689.0,0.0,0.0,No
711,Jackson,10,0.0,2,3/12/20,50689.0,0.0,0.0,No
780,Jackson,11,0.0,2,3/13/20,50689.0,0.0,0.0,No
849,Jackson,12,0.0,2,3/14/20,50689.0,0.0,0.0,No
918,Jackson,13,0.0,2,3/15/20,50689.0,0.0,0.0,No
987,Jackson,14,0.0,3,3/16/20,50689.0,0.0,0.0,No
1056,Jackson,15,0.0,3,3/17/20,50689.0,0.0,0.0,No
1125,Jackson,16,0.0,3,3/18/20,50689.0,0.0,0.0,No
1194,Jackson,17,1.0,3,3/19/20,50689.0,1.972814614610665,1.0,Yes
1263,Jackson,18,0.0,3,3/20/20,50689.0,0.0,-1.0,No
1332,Jackson,19,0.0,3,3/21/20,50689.0,0.0,0.0,No
1401,Jackson,20,0.0,3,3/22/20,50689.0,0.0,0.0,No
1470,Jackson,21,0.0,4,3/23/20,50689.0,0.0,0.0,No
1539,Jackson,22,0.0,4,3/24/20,50689.0,0.0,0.0,No
55,Jefferson,0,0.0,1,3/2/20,14725.0,0.0,0.0,No
124,Jefferson,1,0.0,1,3/3/20,14725.0,0.0,0.0,No
193,Jefferson,2,0.0,1,3/4/20,14725.0,0.0,0.0,No
262,Jefferson,3,0.0,1,3/5/20,14725.0,0.0,0.0,No
331,Jefferson,4,0.0,1,3/6/20,14725.0,0.0,0.0,No
400,Jefferson,5,0.0,1,3/7/20,14725.0,0.0,0.0,No
469,Jefferson,6,0.0,1,3/8/20,14725.0,0.0,0.0,No
538,Jefferson,7,0.0,2,3/9/20,14725.0,0.0,0.0,No
607,Jefferson,8,0.0,2,3/10/20,14725.0,0.0,0.0,No
676,Jefferson,9,0.0,2,3/11/20,14725.0,0.0,0.0,No
745,Jefferson,10,0.0,2,3/12/20,14725.0,0.0,0.0,No
814,Jefferson,11,0.0,2,3/13/20,14725.0,0.0,0.0,No
883,Jefferson,12,0.0,2,3/14/20,14725.0,0.0,0.0,No
952,Jefferson,13,0.0,2,3/15/20,14725.0,0.0,0.0,No
1021,Jefferson,14,0.0,3,3/16/20,14725.0,0.0,0.0,No
1090,Jefferson,15,0.0,3,3/17/20,14725.0,0.0,0.0,No
1159,Jefferson,16,0.0,3,3/18/20,14725.0,0.0,0.0,No
1228,Jefferson,17,0.0,3,3/19/20,14725.0,0.0,0.0,No
1297,Jefferson,18,0.0,3,3/20/20,14725.0,0.0,0.0,No
1366,Jefferson,19,0.0,3,3/21/20,14725.0,0.0,0.0,No
1435,Jefferson,20,0.0,3,3/22/20,14725.0,0.0,0.0,No
1504,Jefferson,21,0.0,4,3/23/20,14725.0,0.0,0.0,No
1573,Jefferson,22,0.0,4,3/24/20,14725.0,0.0,0.0,No
56,Lafayette,0,0.0,1,3/2/20,8367.0,0.0,0.0,No
125,Lafayette,1,0.0,1,3/3/20,8367.0,0.0,0.0,No
194,Lafayette,2,0.0,1,3/4/20,8367.0,0.0,0.0,No
263,Lafayette,3,0.0,1,3/5/20,8367.0,0.0,0.0,No
332,Lafayette,4,0.0,1,3/6/20,8367.0,0.0,0.0,No
401,Lafayette,5,0.0,1,3/7/20,8367.0,0.0,0.0,No
470,Lafayette,6,0.0,1,3/8/20,8367.0,0.0,0.0,No
539,Lafayette,7,0.0,2,3/9/20,8367.0,0.0,0.0,No
608,Lafayette,8,0.0,2,3/10/20,8367.0,0.0,0.0,No
677,Lafayette,9,0.0,2,3/11/20,8367.0,0.0,0.0,No
746,Lafayette,10,0.0,2,3/12/20,8367.0,0.0,0.0,No
815,Lafayette,11,0.0,2,3/13/20,8367.0,0.0,0.0,No
884,Lafayette,12,0.0,2,3/14/20,8367.0,0.0,0.0,No
953,Lafayette,13,0.0,2,3/15/20,8367.0,0.0,0.0,No
1022,Lafayette,14,0.0,3,3/16/20,8367.0,0.0,0.0,No
1091,Lafayette,15,0.0,3,3/17/20,8367.0,0.0,0.0,No
1160,Lafayette,16,0.0,3,3/18/20,8367.0,0.0,0.0,No
1229,Lafayette,17,0.0,3,3/19/20,8367.0,0.0,0.0,No
1298,Lafayette,18,0.0,3,3/20/20,8367.0,0.0,0.0,No
1367,Lafayette,19,0.0,3,3/21/20,8367.0,0.0,0.0,No
1436,Lafayette,20,0.0,3,3/22/20,8367.0,0.0,0.0,No
1505,Lafayette,21,0.0,4,3/23/20,8367.0,0.0,0.0,No
1574,Lafayette,22,0.0,4,3/24/20,8367.0,0.0,0.0,No
22,Lake,0,0.0,1,3/2/20,342356.0,0.0,0.0,No
91,Lake,1,0.0,1,3/3/20,342356.0,0.0,0.0,No
160,Lake,2,0.0,1,3/4/20,342356.0,0.0,0.0,No
229,Lake,3,0.0,1,3/5/20,342356.0,0.0,0.0,No
298,Lake,4,0.0,1,3/6/20,342356.0,0.0,0.0,No
367,Lake,5,0.0,1,3/7/20,342356.0,0.0,0.0,No
436,Lake,6,0.0,1,3/8/20,342356.0,0.0,0.0,No
505,Lake,7,0.0,2,3/9/20,342356.0,0.0,0.0,No
574,Lake,8,0.0,2,3/10/20,342356.0,0.0,0.0,No
643,Lake,9,0.0,2,3/11/20,342356.0,0.0,0.0,No
712,Lake,10,0.0,2,3/12/20,342356.0,0.0,0.0,No
781,Lake,11,1.0,2,3/13/20,342356.0,0.29209361016018415,1.0,Yes
850,Lake,12,0.0,2,3/14/20,342356.0,0.0,-1.0,No
919,Lake,13,0.0,2,3/15/20,342356.0,0.0,0.0,No
988,Lake,14,0.0,3,3/16/20,342356.0,0.0,0.0,No
1057,Lake,15,1.0,3,3/17/20,342356.0,0.29209361016018415,1.0,Yes
1126,Lake,16,0.0,3,3/18/20,342356.0,0.0,-1.0,No
1195,Lake,17,1.0,3,3/19/20,342356.0,0.29209361016018415,1.0,Yes
1264,Lake,18,0.0,3,3/20/20,342356.0,0.0,-1.0,No
1333,Lake,19,2.0,3,3/21/20,342356.0,0.5841872203203683,2.0,Yes
1402,Lake,20,3.0,3,3/22/20,342356.0,0.8762808304805525,1.0,Yes
1471,Lake,21,6.0,4,3/23/20,342356.0,1.752561660961105,3.0,Yes
1540,Lake,22,0.0,4,3/24/20,342356.0,0.0,-6.0,No
23,Lee,0,0.0,1,3/2/20,721053.0,0.0,0.0,No
92,Lee,1,0.0,1,3/3/20,721053.0,0.0,0.0,No
161,Lee,2,0.0,1,3/4/20,721053.0,0.0,0.0,No
230,Lee,3,0.0,1,3/5/20,721053.0,0.0,0.0,No
299,Lee,4,0.0,1,3/6/20,721053.0,0.0,0.0,No
368,Lee,5,2.0,1,3/7/20,721053.0,0.27737212105074105,2.0,Yes
437,Lee,6,0.0,1,3/8/20,721053.0,0.0,-2.0,No
506,Lee,7,0.0,2,3/9/20,721053.0,0.0,0.0,No
575,Lee,8,0.0,2,3/10/20,721053.0,0.0,0.0,No
644,Lee,9,0.0,2,3/11/20,721053.0,0.0,0.0,No
713,Lee,10,1.0,2,3/12/20,721053.0,0.13868606052537052,1.0,Yes
782,Lee,11,1.0,2,3/13/20,721053.0,0.13868606052537052,0.0,Yes
851,Lee,12,1.0,2,3/14/20,721053.0,0.13868606052537052,0.0,Yes
920,Lee,13,1.0,2,3/15/20,721053.0,0.13868606052537052,0.0,Yes
989,Lee,14,1.0,3,3/16/20,721053.0,0.13868606052537052,0.0,Yes
1058,Lee,15,2.0,3,3/17/20,721053.0,0.27737212105074105,1.0,Yes
1127,Lee,16,2.0,3,3/18/20,721053.0,0.27737212105074105,0.0,Yes
1196,Lee,17,2.0,3,3/19/20,721053.0,0.27737212105074105,0.0,Yes
1265,Lee,18,1.0,3,3/20/20,721053.0,0.13868606052537052,-1.0,No
1334,Lee,19,4.0,3,3/21/20,721053.0,0.5547442421014821,3.0,Yes
1403,Lee,20,10.0,3,3/22/20,721053.0,1.3868606052537054,6.0,Yes
1472,Lee,21,3.0,4,3/23/20,721053.0,0.41605818157611163,-7.0,No
1541,Lee,22,1.0,4,3/24/20,721053.0,0.13868606052537052,-2.0,No
24,Leon,0,0.0,1,3/2/20,290223.0,0.0,0.0,No
93,Leon,1,0.0,1,3/3/20,290223.0,0.0,0.0,No
162,Leon,2,1.0,1,3/4/20,290223.0,0.3445626294263377,1.0,Yes
231,Leon,3,0.0,1,3/5/20,290223.0,0.0,-1.0,No
300,Leon,4,0.0,1,3/6/20,290223.0,0.0,0.0,No
369,Leon,5,0.0,1,3/7/20,290223.0,0.0,0.0,No
438,Leon,6,0.0,1,3/8/20,290223.0,0.0,0.0,No
507,Leon,7,0.0,2,3/9/20,290223.0,0.0,0.0,No
576,Leon,8,0.0,2,3/10/20,290223.0,0.0,0.0,No
645,Leon,9,0.0,2,3/11/20,290223.0,0.0,0.0,No
714,Leon,10,0.0,2,3/12/20,290223.0,0.0,0.0,No
783,Leon,11,0.0,2,3/13/20,290223.0,0.0,0.0,No
852,Leon,12,0.0,2,3/14/20,290223.0,0.0,0.0,No
921,Leon,13,0.0,2,3/15/20,290223.0,0.0,0.0,No
990,Leon,14,0.0,3,3/16/20,290223.0,0.0,0.0,No
1059,Leon,15,0.0,3,3/17/20,290223.0,0.0,0.0,No
1128,Leon,16,3.0,3,3/18/20,290223.0,1.033687888279013,3.0,Yes
1197,Leon,17,0.0,3,3/19/20,290223.0,0.0,-3.0,No
1266,Leon,18,0.0,3,3/20/20,290223.0,0.0,0.0,No
1335,Leon,19,1.0,3,3/21/20,290223.0,0.3445626294263377,1.0,Yes
1404,Leon,20,1.0,3,3/22/20,290223.0,0.3445626294263377,0.0,Yes
1473,Leon,21,0.0,4,3/23/20,290223.0,0.0,-1.0,No
1542,Leon,22,2.0,4,3/24/20,290223.0,0.6891252588526754,2.0,Yes
57,Levy,0,0.0,1,3/2/20,41550.0,0.0,0.0,No
126,Levy,1,0.0,1,3/3/20,41550.0,0.0,0.0,No
195,Levy,2,0.0,1,3/4/20,41550.0,0.0,0.0,No
264,Levy,3,0.0,1,3/5/20,41550.0,0.0,0.0,No
333,Levy,4,0.0,1,3/6/20,41550.0,0.0,0.0,No
402,Levy,5,0.0,1,3/7/20,41550.0,0.0,0.0,No
471,Levy,6,0.0,1,3/8/20,41550.0,0.0,0.0,No
540,Levy,7,0.0,2,3/9/20,41550.0,0.0,0.0,No
609,Levy,8,0.0,2,3/10/20,41550.0,0.0,0.0,No
678,Levy,9,0.0,2,3/11/20,41550.0,0.0,0.0,No
747,Levy,10,0.0,2,3/12/20,41550.0,0.0,0.0,No
816,Levy,11,0.0,2,3/13/20,41550.0,0.0,0.0,No
885,Levy,12,0.0,2,3/14/20,41550.0,0.0,0.0,No
954,Levy,13,0.0,2,3/15/20,41550.0,0.0,0.0,No
1023,Levy,14,0.0,3,3/16/20,41550.0,0.0,0.0,No
1092,Levy,15,0.0,3,3/17/20,41550.0,0.0,0.0,No
1161,Levy,16,0.0,3,3/18/20,41550.0,0.0,0.0,No
1230,Levy,17,0.0,3,3/19/20,41550.0,0.0,0.0,No
1299,Levy,18,0.0,3,3/20/20,41550.0,0.0,0.0,No
1368,Levy,19,0.0,3,3/21/20,41550.0,0.0,0.0,No
1437,Levy,20,0.0,3,3/22/20,41550.0,0.0,0.0,No
1506,Levy,21,0.0,4,3/23/20,41550.0,0.0,0.0,No
1575,Levy,22,0.0,4,3/24/20,41550.0,0.0,0.0,No
58,Liberty,0,0.0,1,3/2/20,8781.0,0.0,0.0,No
127,Liberty,1,0.0,1,3/3/20,8781.0,0.0,0.0,No
196,Liberty,2,0.0,1,3/4/20,8781.0,0.0,0.0,No
265,Liberty,3,0.0,1,3/5/20,8781.0,0.0,0.0,No
334,Liberty,4,0.0,1,3/6/20,8781.0,0.0,0.0,No
403,Liberty,5,0.0,1,3/7/20,8781.0,0.0,0.0,No
472,Liberty,6,0.0,1,3/8/20,8781.0,0.0,0.0,No
541,Liberty,7,0.0,2,3/9/20,8781.0,0.0,0.0,No
610,Liberty,8,0.0,2,3/10/20,8781.0,0.0,0.0,No
679,Liberty,9,0.0,2,3/11/20,8781.0,0.0,0.0,No
748,Liberty,10,0.0,2,3/12/20,8781.0,0.0,0.0,No
817,Liberty,11,0.0,2,3/13/20,8781.0,0.0,0.0,No
886,Liberty,12,0.0,2,3/14/20,8781.0,0.0,0.0,No
955,Liberty,13,0.0,2,3/15/20,8781.0,0.0,0.0,No
1024,Liberty,14,0.0,3,3/16/20,8781.0,0.0,0.0,No
1093,Liberty,15,0.0,3,3/17/20,8781.0,0.0,0.0,No
1162,Liberty,16,0.0,3,3/18/20,8781.0,0.0,0.0,No
1231,Liberty,17,0.0,3,3/19/20,8781.0,0.0,0.0,No
1300,Liberty,18,0.0,3,3/20/20,8781.0,0.0,0.0,No
1369,Liberty,19,0.0,3,3/21/20,8781.0,0.0,0.0,No
1438,Liberty,20,0.0,3,3/22/20,8781.0,0.0,0.0,No
1507,Liberty,21,0.0,4,3/23/20,8781.0,0.0,0.0,No
1576,Liberty,22,0.0,4,3/24/20,8781.0,0.0,0.0,No
59,Madison,0,0.0,1,3/2/20,19420.0,0.0,0.0,No
128,Madison,1,0.0,1,3/3/20,19420.0,0.0,0.0,No
197,Madison,2,0.0,1,3/4/20,19420.0,0.0,0.0,No
266,Madison,3,0.0,1,3/5/20,19420.0,0.0,0.0,No
335,Madison,4,0.0,1,3/6/20,19420.0,0.0,0.0,No
404,Madison,5,0.0,1,3/7/20,19420.0,0.0,0.0,No
473,Madison,6,0.0,1,3/8/20,19420.0,0.0,0.0,No
542,Madison,7,0.0,2,3/9/20,19420.0,0.0,0.0,No
611,Madison,8,0.0,2,3/10/20,19420.0,0.0,0.0,No
680,Madison,9,0.0,2,3/11/20,19420.0,0.0,0.0,No
749,Madison,10,0.0,2,3/12/20,19420.0,0.0,0.0,No
818,Madison,11,0.0,2,3/13/20,19420.0,0.0,0.0,No
887,Madison,12,0.0,2,3/14/20,19420.0,0.0,0.0,No
956,Madison,13,0.0,2,3/15/20,19420.0,0.0,0.0,No
1025,Madison,14,0.0,3,3/16/20,19420.0,0.0,0.0,No
1094,Madison,15,0.0,3,3/17/20,19420.0,0.0,0.0,No
1163,Madison,16,0.0,3,3/18/20,19420.0,0.0,0.0,No
1232,Madison,17,0.0,3,3/19/20,19420.0,0.0,0.0,No
1301,Madison,18,0.0,3,3/20/20,19420.0,0.0,0.0,No
1370,Madison,19,0.0,3,3/21/20,19420.0,0.0,0.0,No
1439,Madison,20,0.0,3,3/22/20,19420.0,0.0,0.0,No
1508,Madison,21,0.0,4,3/23/20,19420.0,0.0,0.0,No
1577,Madison,22,0.0,4,3/24/20,19420.0,0.0,0.0,No
25,Manatee,0,1.0,1,3/2/20,381071.0,0.2624182895051053,0.0,No
94,Manatee,1,0.0,1,3/3/20,381071.0,0.0,-1.0,No
163,Manatee,2,0.0,1,3/4/20,381071.0,0.0,0.0,No
232,Manatee,3,0.0,1,3/5/20,381071.0,0.0,0.0,No
301,Manatee,4,0.0,1,3/6/20,381071.0,0.0,0.0,No
370,Manatee,5,0.0,1,3/7/20,381071.0,0.0,0.0,No
439,Manatee,6,0.0,1,3/8/20,381071.0,0.0,0.0,No
508,Manatee,7,1.0,2,3/9/20,381071.0,0.2624182895051053,1.0,Yes
577,Manatee,8,0.0,2,3/10/20,381071.0,0.0,-1.0,No
646,Manatee,9,0.0,2,3/11/20,381071.0,0.0,0.0,No
715,Manatee,10,0.0,2,3/12/20,381071.0,0.0,0.0,No
784,Manatee,11,0.0,2,3/13/20,381071.0,0.0,0.0,No
