County,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20
Alachua,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,3,2,5,13,6
Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bradford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brevard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
Broward,0,0,0,0,0,2,0,1,1,0,3,5,13,16,6,8,27,13,31,39,52
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Citrus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,3,0
Clay,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,1
Collier,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,1,5,5,9,1,5
Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Dade,0,0,1,0,0,0,0,0,0,0,1,2,10,8,7,26,24,23,23,50,53
Desoto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dixie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duval,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,4,1,4,15,5
Escambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
Flagler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadsden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilchrist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hendry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hernando,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
Highlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hillsborough,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,6,2,5,14,17,8
Holmes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1
Lee,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,2,2,2,1,4,8
Leon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
Levy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manatee,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,1,1,1,3,0
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nassau,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Okaloosa,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,3,2
Okeechobee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,5,5,5,6,4
Osceola,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,3,2,4,0,8,2
Palm Beach,0,0,1,0,0,0,0,0,0,0,0,2,3,0,4,3,10,6,16,14,13
Pasco,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,3,0,3
Pinellas,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,8,4,5,7,9
Polk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,1,0
Putnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Santa Rosa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Sarasota,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,7,2
Seminole,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,2,0,3,5,3
St. Johns,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,4,2,6
St. Lucie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Sumter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1
Suwannee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volusia,0,0,0,0,0,0,1,1,0,0,0,1,3,1,1,1,0,0,1,2,2
Wakulla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
